year,month,day,hour,PM2.5,CO,O3,TEMP,WSPM,PRES
2013,3,3,3,87.0,2600.0,5.0,-3.6,0.2,1015.4
2013,3,3,4,79.0,2100.0,10.0,-4.2,0.0,1014.9
2013,3,3,5,54.0,3799.0,5.0,-4.4,0.0,1014.5
2013,3,3,6,76.0,3700.0,4.0,-4.7,0.9,1014.4
2013,3,3,7,82.0,2899.0,4.0,-2.5,0.9,1014.7
2013,3,3,8,78.0,2899.0,6.0,1.2,0.5,1014.1
2013,3,3,9,77.0,3399.0,9.0,3.8,0.5,1013.6
2013,3,3,10,87.0,3000.0,14.0,6.4,1.4,1012.8
2013,3,3,11,97.0,3000.0,16.0,10.5,1.4,1011.7
2013,3,3,12,102.0,3100.0,18.0,14.1,3.0,1010.4
2013,3,3,13,113.0,2399.0,51.0,16.0,2.6,1009.3
2013,3,3,14,127.0,1800.0,71.0,16.6,2.4,1008.7
2013,3,3,15,97.0,1000.0,85.0,16.9,3.7,1008.3
2013,3,3,16,61.0,1100.0,79.0,15.8,1.9,1008.4
2013,3,3,17,44.0,1300.0,80.0,12.1,1.7,1009.1
2013,3,3,18,78.0,2299.0,51.0,14.6,4.4,1010.1
2013,3,3,19,150.0,2100.0,40.0,13.8,1.2,1011.3
2013,3,3,20,126.0,900.0,79.0,12.6,1.4,1011.4
2013,3,3,21,34.0,800.0,88.0,10.3,2.1,1011.7
2013,3,3,22,14.0,1100.0,63.0,9.4,1.4,1011.9
2013,3,3,23,20.0,1800.0,17.0,11.0,0.5,1012.7
2013,3,4,0,28.0,1600.0,47.0,10.1,3.5,1013.6
2013,3,4,1,23.0,900.0,70.0,9.5,2.0,1014.5
2013,3,4,2,16.0,800.0,70.0,8.6,1.0,1014.7
2013,3,4,3,13.0,900.0,62.0,8.1,1.6,1014.9
2013,3,4,4,13.0,1000.0,52.0,7.2,0.9,1015.8
2013,3,4,5,12.0,900.0,64.0,3.7,0.2,1016.4
2013,3,4,6,8.0,900.0,78.0,3.2,0.5,1016.9
2013,3,4,7,5.0,1000.0,62.0,7.0,0.8,1017.9
2013,3,4,8,7.0,1500.0,24.0,8.7,1.5,1018.7
2013,3,4,9,15.0,1600.0,31.0,10.1,3.2,1018.5
2013,3,4,10,19.0,1399.0,47.0,11.1,1.8,1018.4
2013,3,4,11,19.0,1100.0,67.0,12.7,1.8,1017.6
2013,3,4,12,18.0,1000.0,72.0,14.3,0.9,1016.7
2013,3,4,13,18.0,900.0,84.0,14.8,2.8,1015.7
2013,3,4,14,19.0,900.0,81.0,14.8,1.7,1014.9
2013,3,4,15,22.0,1000.0,103.0,15.0,2.3,1014.2
2013,3,4,16,26.0,900.0,105.0,14.7,1.3,1013.8
2013,3,4,17,28.0,1000.0,107.0,12.7,1.8,1014.0
2013,3,4,18,32.0,1000.0,94.0,11.2,0.9,1014.5
2013,3,4,19,38.0,1100.0,76.0,9.7,1.7,1014.7
2013,3,4,20,45.0,1399.0,52.0,8.4,1.0,1014.9
2013,3,4,21,57.0,1399.0,44.0,7.8,1.6,1015.0
2013,3,4,22,72.0,1899.0,15.0,5.8,0.9,1014.6
2013,3,4,23,83.0,2000.0,107.0,5.9,1.3,1013.7
2013,3,5,0,99.0,2100.0,107.0,5.7,0.9,1013.3
2013,3,5,1,111.0,2100.0,107.0,3.0,0.5,1012.7
2013,3,5,2,122.0,1899.0,107.0,1.3,0.2,1012.4
2013,3,5,3,122.0,1949.5,107.0,0.6,0.1,1012.0
2013,3,5,4,111.0,2000.0,107.0,0.5,0.5,1011.8
2013,3,5,5,95.0,3299.0,107.0,-0.2,0.4,1011.9
2013,3,5,6,86.0,2899.0,107.0,0.1,0.2,1011.7
2013,3,5,7,88.0,3299.0,107.0,1.6,0.2,1011.5
2013,3,5,8,93.0,4099.0,107.0,5.4,2.3,1011.3
2013,3,5,9,98.0,3200.0,107.0,7.7,1.7,1010.7
2013,3,5,10,109.0,2899.0,107.0,9.0,2.9,1009.9
2013,3,5,11,114.0,1500.0,107.0,10.1,2.0,1009.1
2013,3,5,12,115.0,100.0,2.0,12.4,1.6,1007.6
2013,3,5,13,120.0,100.0,107.0,13.3,0.9,1006.4
2013,3,5,14,125.0,100.0,107.0,14.3,1.6,1005.5
2013,3,5,15,133.0,100.0,107.0,14.4,0.6,1005.2
2013,3,5,16,146.0,100.0,107.0,13.6,0.7,1005.0
2013,3,5,17,162.0,100.0,94.0,12.4,1.1,1005.5
2013,3,5,18,174.0,100.0,76.0,10.0,0.0,1006.0
2013,3,5,19,186.0,100.0,52.0,7.6,0.0,1006.5
2013,3,5,20,203.0,100.0,44.0,6.2,0.7,1006.9
2013,3,5,21,217.0,100.0,15.0,5.1,0.8,1007.0
2013,3,5,22,224.0,100.0,15.0,4.3,0.1,1006.8
2013,3,5,23,228.0,100.0,15.0,3.6,0.2,1006.5
2013,3,6,0,216.0,100.0,15.0,3.3,0.0,1006.5
2013,3,6,1,200.0,100.0,15.0,2.5,0.2,1006.3
2013,3,6,2,192.0,100.0,15.0,2.3,0.2,1006.0
2013,3,6,3,185.0,100.0,15.0,2.0,0.5,1005.8
2013,3,6,4,148.0,100.0,15.0,2.0,0.0,1005.5
2013,3,6,5,144.0,100.0,15.0,2.4,0.8,1005.6
2013,3,6,6,174.0,100.0,15.0,3.1,0.6,1006.4
2013,3,6,7,178.0,100.0,15.0,4.8,1.6,1007.3
2013,3,6,8,193.0,100.0,15.0,6.0,0.6,1007.5
2013,3,6,9,209.0,100.0,15.0,7.4,0.0,1007.3
2013,3,6,10,209.0,3799.0,11.0,9.6,1.3,1006.7
2013,3,6,11,212.0,4400.0,9.0,10.2,1.0,1005.7
2013,3,6,12,218.0,4400.0,9.0,11.0,0.8,1005.0
2013,3,6,13,234.0,4400.0,9.0,13.5,0.7,1004.1
2013,3,6,14,245.0,3799.0,11.0,14.6,1.3,1003.4
2013,3,6,15,238.0,3500.0,20.0,14.6,1.6,1003.4
2013,3,6,16,162.0,3399.5,20.0,14.1,1.2,1003.4
2013,3,6,17,3.0,3299.0,25.0,12.3,0.7,1004.0
2013,3,6,18,3.0,3500.0,26.0,10.5,0.9,1005.0
2013,3,6,19,120.0,3600.0,26.0,7.7,0.9,1005.7
2013,3,6,20,248.0,3700.0,26.0,6.1,0.9,1006.2
2013,3,6,21,287.0,4099.0,26.0,5.3,0.9,1006.0
2013,3,6,22,292.0,4299.0,26.0,5.3,0.7,1005.6
2013,3,6,23,272.0,4799.0,26.0,5.9,0.5,1005.6
2013,3,7,0,279.0,5200.0,26.0,4.9,1.0,1005.4
2013,3,7,1,284.0,5200.0,26.0,4.2,0.9,1005.3
2013,3,7,2,280.0,5099.0,26.0,4.0,0.8,1004.9
2013,3,7,3,261.0,4700.0,26.0,2.6,0.6,1004.5
2013,3,7,4,201.0,4500.0,26.0,1.8,0.6,1004.6
2013,3,7,5,149.0,4299.0,26.0,1.1,0.0,1004.8
2013,3,7,6,131.0,4299.0,26.0,1.3,0.5,1004.7
2013,3,7,7,126.0,5099.0,26.0,4.2,0.7,1005.0
2013,3,7,8,154.0,7000.0,26.0,8.6,0.7,1004.7
2013,3,7,9,223.0,6099.0,26.0,10.3,0.7,1004.1
2013,3,7,10,274.0,6000.0,26.0,13.3,1.4,1003.2
2013,3,7,11,301.0,6900.0,26.0,15.5,2.1,1001.4
2013,3,7,12,328.0,6299.0,26.0,16.4,2.1,999.5
2013,3,7,13,315.0,4099.0,36.0,16.8,2.6,998.0
2013,3,7,14,251.0,1800.0,97.0,18.5,2.6,996.5
2013,3,7,15,161.0,2100.0,99.0,18.4,2.6,995.6
2013,3,7,16,198.0,1899.0,107.0,17.7,0.8,995.1
2013,3,7,17,222.0,2299.0,107.0,14.9,0.4,994.9
2013,3,7,18,243.0,2799.0,107.0,12.2,0.5,995.3
2013,3,7,19,272.0,3799.0,16.0,10.8,0.0,995.7
2013,3,7,20,299.0,5700.0,107.0,10.1,0.2,995.7
2013,3,7,21,318.0,5200.0,107.0,8.6,0.5,995.9
2013,3,7,22,302.0,4900.0,107.0,7.6,0.0,996.1
2013,3,7,23,278.0,5299.0,107.0,9.7,1.8,996.4
2013,3,8,0,264.0,4400.0,107.0,6.9,0.0,996.2
2013,3,8,1,248.0,4500.0,107.0,5.7,0.1,996.6
2013,3,8,2,254.0,4200.0,107.0,5.1,0.5,996.3
2013,3,8,3,251.0,3899.0,107.0,5.1,0.8,996.0
2013,3,8,4,247.0,4700.0,107.0,4.8,0.8,996.6
2013,3,8,5,247.0,4200.0,107.0,4.2,0.7,997.3
2013,3,8,6,240.0,4299.0,107.0,3.8,0.2,997.8
2013,3,8,7,250.0,4900.0,107.0,6.8,0.7,998.4
2013,3,8,8,258.0,5900.0,107.0,12.5,0.8,998.8
2013,3,8,9,260.0,5000.0,107.0,16.7,1.5,999.1
2013,3,8,10,266.0,3850.0,107.0,19.2,1.7,998.8
2013,3,8,11,233.0,2700.0,107.0,20.4,2.1,998.4
2013,3,8,12,273.0,3500.0,107.0,21.2,3.1,997.2
2013,3,8,13,222.0,2000.0,107.0,22.4,1.9,996.2
2013,3,8,14,152.0,1300.0,107.0,18.1,4.7,996.0
2013,3,8,15,179.0,2200.0,107.0,14.9,2.6,997.2
2013,3,8,16,245.0,3000.0,106.0,12.7,2.6,997.7
2013,3,8,17,169.0,1899.0,106.0,10.3,2.2,998.0
2013,3,8,18,124.0,1300.0,106.0,9.0,0.7,998.6
2013,3,8,19,95.0,1000.0,106.0,8.1,0.1,998.6
2013,3,8,20,85.0,1000.0,106.0,7.6,0.4,998.3
2013,3,8,21,95.0,1100.0,106.0,6.8,0.0,997.9
2013,3,8,22,84.0,1100.0,106.0,6.5,1.0,997.1
2013,3,8,23,95.0,1300.0,106.0,5.9,0.7,995.7
2013,3,9,0,86.0,1700.0,106.0,4.7,0.0,994.3
2013,3,9,1,54.0,1800.0,106.0,4.3,1.5,993.1
2013,3,9,2,92.0,1600.0,106.0,4.3,1.3,992.1
2013,3,9,3,91.0,1450.0,106.0,3.5,0.5,990.9
2013,3,9,4,94.0,1300.0,106.0,2.8,0.1,989.9
2013,3,9,5,98.0,2200.0,106.0,2.5,0.0,990.0
2013,3,9,6,96.0,2200.0,106.0,2.8,0.5,990.3
2013,3,9,7,101.0,2200.0,106.0,4.4,0.7,990.8
2013,3,9,8,106.0,2000.0,106.0,10.0,1.7,991.7
2013,3,9,9,110.0,2000.0,106.0,17.9,5.1,994.1
2013,3,9,10,86.0,400.0,106.0,15.4,6.9,996.3
2013,3,9,11,57.0,300.0,106.0,14.2,4.5,998.8
2013,3,9,12,87.0,300.0,106.0,12.0,7.3,1002.4
2013,3,9,13,69.0,300.0,106.0,10.4,4.5,1004.5
2013,3,9,14,51.0,300.0,103.0,10.8,3.5,1005.9
2013,3,9,15,34.0,300.0,96.0,10.4,2.1,1007.0
2013,3,9,16,20.0,400.0,96.0,10.8,3.5,1008.7
2013,3,9,17,12.0,400.0,96.0,9.5,2.3,1010.7
2013,3,9,18,12.0,400.0,96.0,7.7,2.3,1013.8
2013,3,9,19,18.0,400.0,96.0,6.6,2.8,1015.9
2013,3,9,20,15.0,400.0,96.0,5.7,1.4,1017.5
2013,3,9,21,15.0,400.0,96.0,4.9,0.9,1018.5
2013,3,9,22,11.0,400.0,96.0,4.9,0.8,1019.0
2013,3,9,23,9.0,400.0,96.0,2.5,0.2,1019.4
2013,3,10,0,3.0,400.0,96.0,3.4,1.0,1018.9
2013,3,10,1,8.0,400.0,96.0,5.4,1.6,1019.3
2013,3,10,2,3.0,400.0,96.0,4.0,1.2,1019.1
2013,3,10,3,16.0,900.0,96.0,3.7,0.2,1019.4
2013,3,10,4,31.0,1000.0,96.0,0.9,0.7,1020.1
2013,3,10,5,37.0,900.0,96.0,0.3,0.7,1020.4
2013,3,10,6,29.0,1000.0,96.0,-0.9,0.6,1020.7
2013,3,10,7,24.0,800.0,96.0,3.8,2.0,1021.6
2013,3,10,8,26.0,900.0,96.0,6.1,3.3,1021.7
2013,3,10,9,22.0,600.0,96.0,7.1,2.9,1021.2
2013,3,10,10,21.0,700.0,96.0,8.8,3.3,1020.3
2013,3,10,11,29.0,900.0,96.0,9.9,3.5,1019.8
2013,3,10,12,35.0,700.0,96.0,11.0,3.0,1018.9
2013,3,10,13,29.0,600.0,96.0,11.7,3.6,1017.8
2013,3,10,14,35.0,600.0,96.0,11.5,2.9,1017.0
2013,3,10,15,42.0,600.0,103.0,10.8,2.5,1016.6
2013,3,10,16,45.0,600.0,103.0,10.4,3.1,1016.2
2013,3,10,17,42.0,600.0,103.0,9.3,2.0,1016.1
2013,3,10,18,54.0,700.0,103.0,8.3,2.1,1016.4
2013,3,10,19,68.0,900.0,103.0,7.6,1.7,1016.8
2013,3,10,20,85.0,1000.0,103.0,6.1,1.1,1017.1
2013,3,10,21,98.0,1300.0,103.0,5.4,1.2,1017.2
2013,3,10,22,106.0,1300.0,103.0,5.1,2.2,1016.6
2013,3,10,23,110.0,1399.0,103.0,4.5,1.1,1016.8
2013,3,11,0,125.0,1300.0,103.0,2.7,0.8,1016.7
2013,3,11,1,127.0,1500.0,103.0,1.5,1.0,1016.1
2013,3,11,2,128.0,1700.0,103.0,0.0,0.6,1015.3
2013,3,11,3,114.0,1700.0,103.0,-0.7,0.0,1015.2
2013,3,11,4,80.0,1899.0,103.0,-1.1,0.8,1015.1
2013,3,11,5,100.0,1899.0,103.0,-1.4,0.5,1014.9
2013,3,11,6,82.0,2500.0,103.0,-1.3,0.1,1015.1
2013,3,11,7,98.0,2299.0,103.0,0.7,0.4,1015.3
2013,3,11,8,100.0,2799.0,103.0,3.2,1.5,1015.3
2013,3,11,9,122.0,3000.0,103.0,5.0,1.7,1014.8
2013,3,11,10,123.0,2399.0,103.0,6.4,1.0,1013.8
2013,3,11,11,123.0,2299.0,103.0,8.0,1.3,1012.8
2013,3,11,12,134.0,2299.0,103.0,9.5,0.8,1011.4
2013,3,11,13,136.0,2000.0,103.0,10.4,2.6,1010.2
2013,3,11,14,124.0,1300.0,103.0,10.8,1.0,1009.0
2013,3,11,15,124.0,1700.0,103.0,10.7,1.5,1008.2
2013,3,11,16,141.0,1800.0,103.0,10.3,1.5,1007.4
2013,3,11,17,148.0,2100.0,96.0,9.6,1.3,1007.6
2013,3,11,18,170.0,2600.0,80.0,9.7,1.9,1007.8
2013,3,11,19,192.0,2799.0,58.0,9.6,1.2,1008.0
2013,3,11,20,197.0,2700.0,53.0,9.5,1.6,1008.2
2013,3,11,21,201.0,2799.0,53.0,9.1,0.0,1007.8
2013,3,11,22,204.0,2799.0,53.0,8.7,0.0,1007.4
2013,3,11,23,219.0,2700.0,53.0,7.9,0.5,1006.1
2013,3,12,0,167.0,2000.0,53.0,6.5,1.0,1005.4
2013,3,12,1,112.0,1399.0,53.0,5.9,0.4,1005.0
2013,3,12,2,113.0,1500.0,53.0,6.7,0.0,1004.0
2013,3,12,3,118.0,1700.0,53.0,6.1,1.0,1004.1
2013,3,12,4,128.0,2200.0,53.0,4.3,0.7,1004.5
2013,3,12,5,141.0,2399.0,53.0,4.6,1.1,1004.2
2013,3,12,6,148.0,2500.0,53.0,4.1,0.7,1004.7
2013,3,12,7,146.0,2600.0,53.0,3.5,0.2,1004.8
2013,3,12,8,128.0,2000.0,53.0,3.2,1.3,1004.8
2013,3,12,9,124.0,2000.0,53.0,3.3,0.7,1004.8
2013,3,12,10,132.0,2200.0,53.0,3.5,1.3,1004.9
2013,3,12,11,134.0,2000.0,53.0,4.2,1.3,1004.7
2013,3,12,12,136.0,2100.0,53.0,4.7,1.3,1004.9
2013,3,12,13,156.0,2200.0,53.0,5.5,1.1,1004.7
2013,3,12,14,152.0,2000.0,53.0,6.1,2.1,1005.1
2013,3,12,15,140.0,1600.0,43.0,6.6,1.9,1005.7
2013,3,12,16,150.0,1899.0,32.0,7.6,0.5,1006.1
2013,3,12,17,152.0,1800.0,22.0,6.9,1.1,1007.2
2013,3,12,18,125.0,1899.0,10.0,6.1,0.9,1009.1
2013,3,12,19,131.0,2399.0,10.0,5.1,0.9,1010.6
2013,3,12,20,139.0,2600.0,10.0,4.5,0.8,1012.4
2013,3,12,21,145.0,1800.0,10.0,4.3,0.6,1013.7
2013,3,12,22,128.0,1899.0,10.0,5.5,1.3,1014.8
2013,3,12,23,145.0,2600.0,10.0,5.6,1.4,1015.6
2013,3,13,0,88.0,1800.0,11.0,4.7,1.8,1016.4
2013,3,13,1,44.0,1000.0,26.0,3.9,1.9,1016.7
2013,3,13,2,14.0,500.0,35.0,3.0,1.2,1017.2
2013,3,13,3,12.0,400.0,35.0,1.3,0.8,1017.7
2013,3,13,4,12.0,300.0,47.0,-0.1,0.0,1018.5
2013,3,13,5,12.0,600.0,47.0,-0.8,0.0,1019.2
2013,3,13,6,14.0,800.0,47.0,1.7,0.5,1020.3
2013,3,13,7,14.0,800.0,47.0,3.7,1.6,1021.5
2013,3,13,8,18.0,1000.0,47.0,4.9,2.2,1022.7
2013,3,13,9,24.0,900.0,47.0,6.1,1.4,1023.0
2013,3,13,10,15.0,800.0,69.0,6.5,1.7,1022.9
2013,3,13,11,14.0,500.0,75.0,6.8,3.4,1022.2
2013,3,13,12,3.0,500.0,78.0,7.5,2.9,1021.5
2013,3,13,13,6.0,500.0,80.0,8.1,1.8,1020.8
2013,3,13,14,18.0,400.0,86.0,8.5,2.2,1020.2
2013,3,13,15,6.0,500.0,86.0,8.4,1.8,1019.9
2013,3,13,16,12.0,500.0,86.0,8.0,2.7,1019.9
2013,3,13,17,28.0,500.0,86.0,6.8,2.6,1020.5
2013,3,13,18,38.0,600.0,86.0,5.9,1.4,1021.1
2013,3,13,19,47.0,700.0,86.0,5.4,2.2,1021.7
2013,3,13,20,57.0,900.0,86.0,4.5,0.9,1022.2
2013,3,13,21,53.0,1000.0,86.0,4.1,0.9,1022.3
2013,3,13,22,70.0,1200.0,86.0,4.1,2.0,1022.2
2013,3,13,23,67.0,1100.0,86.0,3.3,1.5,1022.3
2013,3,14,0,69.0,1200.0,86.0,2.7,2.2,1022.5
2013,3,14,1,75.0,1399.0,86.0,1.6,1.2,1022.5
2013,3,14,2,80.0,1600.0,86.0,0.9,0.9,1022.3
2013,3,14,3,62.0,1500.0,86.0,0.0,0.7,1021.9
2013,3,14,4,71.0,1300.0,86.0,-0.5,0.0,1021.9
2013,3,14,5,54.0,1200.0,86.0,0.1,1.9,1022.3
2013,3,14,6,64.0,1200.0,86.0,-0.3,1.5,1022.3
2013,3,14,7,76.0,2399.0,86.0,0.1,1.8,1022.7
2013,3,14,8,86.0,2399.0,86.0,0.8,1.6,1022.9
2013,3,14,9,91.0,2100.0,86.0,2.3,1.8,1022.5
2013,3,14,10,76.0,1899.0,86.0,3.9,1.5,1021.4
2013,3,14,11,82.0,1700.0,86.0,5.9,1.9,1020.3
2013,3,14,12,113.0,1600.0,86.0,7.9,1.5,1019.2
2013,3,14,13,98.0,1300.0,86.0,8.9,2.2,1017.9
2013,3,14,14,90.0,1000.0,85.0,9.4,2.9,1017.2
2013,3,14,15,84.0,1100.0,80.0,9.1,2.5,1016.4
2013,3,14,16,108.0,1100.0,78.0,8.6,2.0,1016.1
2013,3,14,17,117.0,1300.0,72.0,7.8,2.3,1016.3
2013,3,14,18,135.0,1500.0,67.0,7.1,0.9,1016.3
2013,3,14,19,149.0,1700.0,67.0,5.9,0.5,1016.5
2013,3,14,20,148.0,1700.0,67.0,4.8,0.5,1016.4
2013,3,14,21,147.0,1899.0,67.0,4.0,0.0,1016.4
2013,3,14,22,166.0,2200.0,67.0,2.7,0.0,1016.2
2013,3,14,23,173.0,2299.0,67.0,1.9,0.0,1016.0
2013,3,15,0,184.0,2600.0,67.0,1.2,0.0,1015.7
2013,3,15,1,188.0,3700.0,67.0,0.8,0.0,1015.2
2013,3,15,2,159.0,2700.0,67.0,0.5,0.0,1014.6
2013,3,15,3,142.0,2600.0,67.0,0.2,0.1,1014.2
2013,3,15,4,145.0,2799.0,67.0,-0.1,0.7,1014.2
2013,3,15,5,141.0,2899.0,67.0,-0.3,0.0,1014.2
2013,3,15,6,140.0,3100.0,67.0,-0.3,0.0,1014.0
2013,3,15,7,149.0,3299.0,67.0,1.9,0.7,1014.5
2013,3,15,8,160.0,3200.0,67.0,4.0,1.5,1014.5
2013,3,15,9,167.0,2399.0,67.0,6.1,1.6,1013.9
2013,3,15,10,168.0,2899.0,6.0,7.7,1.2,1013.0
2013,3,15,11,158.0,2000.0,13.0,9.4,1.2,1012.0
2013,3,15,12,163.0,2000.0,24.0,10.5,0.7,1011.2
2013,3,15,13,184.0,2200.0,67.0,11.7,1.9,1009.8
2013,3,15,14,234.0,2299.0,67.0,12.1,1.1,1009.3
2013,3,15,15,273.0,2500.0,64.0,11.9,1.6,1008.9
2013,3,15,16,289.0,2200.0,63.0,11.3,1.9,1009.0
2013,3,15,17,290.0,2100.0,71.0,10.6,1.7,1009.4
2013,3,15,18,302.0,2200.0,71.0,9.8,0.8,1010.0
2013,3,15,19,304.0,2200.0,71.0,8.6,0.6,1010.7
2013,3,15,20,336.0,2399.0,71.0,7.1,0.0,1011.7
2013,3,15,21,334.0,2600.0,71.0,6.5,0.0,1012.5
2013,3,15,22,340.0,3100.0,71.0,6.2,0.4,1013.2
2013,3,15,23,335.0,3799.0,71.0,6.1,0.0,1013.5
2013,3,16,0,299.0,3899.0,71.0,6.0,0.7,1013.7
2013,3,16,1,287.0,3000.0,71.0,5.6,1.0,1013.9
2013,3,16,2,274.0,2700.0,71.0,5.0,0.6,1014.3
2013,3,16,3,252.0,2500.0,71.0,5.8,1.0,1015.2
2013,3,16,4,249.0,3299.0,71.0,5.2,0.1,1015.9
2013,3,16,5,266.0,3100.0,71.0,6.6,1.1,1016.7
2013,3,16,6,263.0,2500.0,71.0,6.6,0.7,1017.4
2013,3,16,7,292.0,2200.0,71.0,7.4,0.1,1018.2
2013,3,16,8,254.0,2500.0,71.0,9.4,0.5,1018.7
2013,3,16,9,248.0,2700.0,71.0,12.4,0.0,1018.8
2013,3,16,10,248.0,2000.0,71.0,12.8,1.5,1018.4
2013,3,16,11,202.0,2000.0,73.0,13.3,1.5,1017.7
2013,3,16,12,174.0,2200.0,75.0,13.9,1.8,1016.6
2013,3,16,13,193.0,2200.0,93.0,14.0,2.9,1015.3
2013,3,16,14,184.0,1800.0,107.0,14.3,2.3,1014.6
2013,3,16,15,136.0,2000.0,107.0,13.2,1.4,1013.7
2013,3,16,16,161.0,2700.0,107.0,12.6,2.0,1012.9
2013,3,16,17,193.0,3200.0,107.0,12.3,1.2,1012.7
2013,3,16,18,293.0,4099.0,107.0,11.8,2.5,1012.4
2013,3,16,19,315.0,4400.0,107.0,10.5,2.0,1012.6
2013,3,16,20,267.0,2299.0,107.0,9.8,1.4,1012.6
2013,3,16,21,232.0,2100.0,107.0,9.0,1.4,1012.2
2013,3,16,22,250.0,2000.0,107.0,8.1,1.2,1011.3
2013,3,16,23,219.0,1899.0,107.0,7.8,0.9,1010.6
2013,3,17,0,176.0,2100.0,107.0,7.1,0.7,1010.1
2013,3,17,1,184.0,2600.0,107.0,6.5,0.7,1009.3
2013,3,17,2,190.0,2200.0,107.0,6.4,0.8,1008.0
2013,3,17,3,189.0,1850.0,107.0,6.6,0.8,1006.8
2013,3,17,4,191.0,1500.0,107.0,6.2,0.0,1006.1
2013,3,17,5,197.0,2299.0,107.0,6.0,1.2,1005.5
2013,3,17,6,201.0,2399.0,107.0,5.3,0.5,1004.2
2013,3,17,7,214.0,2299.0,107.0,6.3,0.7,1003.9
2013,3,17,8,177.0,2399.0,107.0,7.5,1.3,1003.6
2013,3,17,9,188.0,2399.0,107.0,9.1,0.9,1002.8
2013,3,17,10,206.0,2500.0,107.0,10.5,1.0,1001.4
2013,3,17,11,226.0,2600.0,107.0,12.2,1.0,999.9
2013,3,17,12,252.0,2600.0,107.0,13.7,1.4,997.9
2013,3,17,13,287.0,2700.0,107.0,14.8,1.7,996.7
2013,3,17,14,310.0,2799.0,107.0,15.4,1.3,995.5
2013,3,17,15,331.0,2600.0,107.0,15.3,1.3,994.7
2013,3,17,16,340.0,2500.0,107.0,15.2,0.4,993.9
